trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
678,False,"{'a': 0.85, 'e': 0.03342325524820839}",20,14,8.069899189982035,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
679,False,"{'a': 0.85, 'e': 0.033256138971967344}",35,13,36.29987833906244,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
680,False,"{'a': 0.85, 'e': 0.03308985827710751}",30,18,21.011814568295634,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
681,False,"{'a': 0.85, 'e': 0.03292440898572197}",30,13,30.903259145011248,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
682,False,"{'a': 0.85, 'e': 0.03275978694079336}",25,17,14.944556494251398,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
683,False,"{'a': 0.85, 'e': 0.03259598800608939}",30,5,39.66011570454673,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",1
684,False,"{'a': 0.85, 'e': 0.03243300806605895}",20,10,14.98242779714402,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
685,False,"{'a': 0.85, 'e': 0.032270843025728656}",30,19,21.324868004635643,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
686,False,"{'a': 0.85, 'e': 0.03210948881060001}",20,14,9.239419440742658,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
687,False,"{'a': 0.85, 'e': 0.03194894136654701}",25,15,18.309641647817557,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
688,False,"{'a': 0.85, 'e': 0.031789196659714275}",20,15,11.120207814958041,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
689,False,"{'a': 0.85, 'e': 0.0316302506764157}",35,18,29.07491786672842,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
690,False,"{'a': 0.85, 'e': 0.031472099423033625}",20,13,11.678482350328256,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
691,False,"{'a': 0.85, 'e': 0.031314738925918455}",20,12,-30.22087317483466,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
692,False,"{'a': 0.85, 'e': 0.031158165231288865}",20,11,14.435928369288549,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
